0,0
1,1059216448
2,0
3,0
4,1052560128
5,1051283520
6,1049850816
7,1048886272
8,1048403968
9,1046758528
10,1060762592
11,1061471840
12,0
13,1068855104
14,0
15,1073741792
16,1070592736
17,1033187072
18,1044318720
19,1039768832
20,1073599936
21,1073741792
22,1030236544
23,1041651968
24,1034690688
25,1045978368
26,1069940256
27,1069472128
28,1072131808
29,1069940256
30,1073741792
31,1071089216
32,1071089216
33,0
34,1073599936
35,1061471840
36,1066266336
37,1059939872
38,1073599936
39,1040389504
40,1047411008
41,1071784288
42,1043581120
43,1042474688
44,1034321920
45,1068869280
46,1033187072
47,1041013632
48,1071578592
