0,0
1,1057024000
2,0
3,0
4,1057521600
5,1056905152
6,1056697216
7,1053934400
8,1055003904
9,1052137152
10,1059563968
11,1062059392
12,0
13,1067057664
14,0
15,1073741792
16,1071736544
17,1034438912
18,1039964544
19,1046299648
20,1073013984
21,1073741792
22,1047339392
23,1046685824
24,1038003840
25,1042006912
26,1070733920
27,1071038432
28,1072137600
29,1070733920
30,1073741792
31,1071261248
32,1071261248
33,0
34,1073013984
35,1062059392
36,1063195712
37,1057759264
38,1073013984
39,1044279552
40,1048067200
41,1072412384
42,1039043584
43,1036518528
44,1036072832
45,1069315424
46,1034409216
47,1032983296
48,1071038432
